id_tarefa,id_funcionalidade,id_responsavel,id_status,id_prioridade,tipo,nome_tarefa,descricao,horas_estimadas,data_criacao,data_inicio,data_conclusao,id_tarefa_pai
33,3,7,6,3,Subtarefa,Criar tela de detalhes do cliente,Visualização completa dos dados,6,2025-02-03,2025-02-10,2025-02-13,30
34,4,11,6,2,Tarefa,Desenvolver API de cadastro de fornecedores,CRUD de fornecedores com dados fiscais,20,2025-02-03,2025-02-03,2025-02-11,
35,4,10,6,2,Tarefa,Tela de gestão de fornecedores,Interface de listagem e cadastro,16,2025-02-03,2025-02-05,2025-02-13,
36,5,6,6,2,Tarefa,Desenvolver API de catálogo de produtos,CRUD de produtos com variações e preços,28,2025-02-03,2025-02-03,2025-02-14,
37,5,7,6,2,Tarefa,Tela de gestão de produtos,Interface do catálogo com imagens e variações,24,2025-02-03,2025-02-05,2025-02-14,
38,6,11,6,1,Tarefa,Desenvolver módulo de contas a pagar,Lançamento aprovação e pagamento,32,2025-02-17,2025-02-17,2025-02-28,
39,6,11,6,1,Subtarefa,Criar modelo de dados financeiro,Tabelas de lançamentos aprovações e pagamentos,8,2025-02-17,2025-02-17,2025-02-18,38
40,6,11,6,1,Subtarefa,Implementar fluxo de aprovação,Workflow de aprovação multi-nível,12,2025-02-17,2025-02-18,2025-02-24,38
41,6,11,6,1,Subtarefa,Integrar com gateway de pagamento,Integração com banco e gateway,12,2025-02-17,2025-02-24,2025-02-28,38
42,7,1,6,1,Tarefa,Desenvolver módulo de contas a receber,Emissão de boletos e controle,28,2025-02-17,2025-02-17,2025-02-28,
43,7,3,6,1,Tarefa,Interface financeira - Contas,Telas de contas a pagar e receber,24,2025-02-17,2025-02-17,2025-02-27,
44,8,1,6,2,Tarefa,Implementar fluxo de caixa consolidado,Visão diária e por período,20,2025-03-03,2025-03-03,2025-03-12,
45,9,1,6,3,Tarefa,Gerar relatório DRE,Demonstração de resultado do exercício,16,2025-03-03,2025-03-03,2025-03-14,
46,9,6,6,3,Tarefa,Implementar balanço patrimonial,Ativo passivo e patrimônio líquido,20,2025-03-03,2025-03-05,2025-03-14,
47,10,11,6,1,Tarefa,Desenvolver controle de movimentação de estoque,Entradas e saídas com rastreabilidade,32,2025-03-17,2025-03-17,2025-03-27,
48,10,11,6,1,Subtarefa,Criar modelo de movimentações,Tabelas de movimentações e histórico,8,2025-03-17,2025-03-17,2025-03-18,47
49,10,11,6,1,Subtarefa,Implementar leitura de código de barras,Integração com leitor de barras,12,2025-03-17,2025-03-18,2025-03-24,47
50,10,11,6,1,Subtarefa,Criar relatório de movimentações,Histórico com filtros e exportação,12,2025-03-17,2025-03-24,2025-03-27,47
51,10,7,6,2,Tarefa,Desenvolver tela de controle de estoque,Interface de movimentações e saldo,24,2025-03-17,2025-03-17,2025-03-28,
52,11,6,6,2,Tarefa,Implementar módulo de inventário,Contagem física e ajuste de estoque,20,2025-03-31,2025-03-31,2025-04-09,
53,11,6,6,2,Tarefa,Configurar alertas de estoque mínimo,Notificações automáticas por e-mail,12,2025-03-31,2025-03-31,2025-04-10,
54,12,1,6,1,Tarefa,Desenvolver módulo de pedidos de venda,Criação e aprovação de pedidos,28,2025-04-14,2025-04-14,2025-04-24,
55,12,1,6,1,Subtarefa,Criar fluxo de carrinho de itens,Seleção e edição de itens do pedido,8,2025-04-14,2025-04-14,2025-04-16,54
56,12,1,6,1,Subtarefa,Implementar cálculo de impostos,Cálculo automático de ICMS PIS COFINS,10,2025-04-14,2025-04-16,2025-04-21,54
57,12,1,6,1,Subtarefa,Criar fluxo de aprovação de pedido,Aprovação por alçada de valor,10,2025-04-14,2025-04-21,2025-04-24,54
58,12,3,6,1,Tarefa,Desenvolver tela de orçamentos,Interface de criação e envio de orçamentos,20,2025-04-14,2025-04-14,2025-04-25,
59,13,1,3,1,Tarefa,Integrar com API SEFAZ para emissão de NF-e,Webservice de autorização de NF-e,40,2025-04-28,2025-04-28,,
60,13,1,3,1,Subtarefa,Configurar certificado digital A1,Instalação e configuração do certificado,6,2025-04-28,2025-04-28,2025-04-29,59
61,13,1,3,1,Subtarefa,Implementar geração do XML da NF-e,Montar XML conforme layout SEFAZ,14,2025-04-28,2025-04-29,2025-05-06,59
62,13,6,3,1,Subtarefa,Implementar envio e resposta da SEFAZ,Envio e tratamento do retorno,14,2025-04-28,2025-05-05,,59
63,13,7,3,1,Subtarefa,Criar tela de emissão de NF-e,Interface de preenchimento e emissão,14,2025-04-28,2025-05-02,,59
64,13,6,4,2,Tarefa,Implementar cancelamento de NF-e,Processo de cancelamento junto à SEFAZ,16,2025-04-28,2025-05-05,,
65,13,7,4,2,Tarefa,Desenvolver DANFE em PDF,Geração do documento auxiliar da NF-e,12,2025-04-28,2025-05-02,,
